ModeOfTransport,Name,Type,Month,Year,PassengerCount
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,May,2018,868
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jun,2017,"1,289"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jun,2018,797
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jul,2017,"1,641"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Jul,2018,"1,352"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Aug,2016,"1,997"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Aug,2017,"1,134"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Aug,2018,864
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Sep,2016,"1,910"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Sep,2017,"1,369"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Sep,2018,813
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Oct,2016,"2,058"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Oct,2017,"1,294"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Oct,2018,"1,107"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Nov,2016,"1,644"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Nov,2017,"1,058"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Nov,2018,841
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Dec,2016,"1,880"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Dec,2017,"1,615"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,Dec,2018,"1,239"
Bus,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,Jan,2017,"1,888"
